'INGRID' | 1297837401 | 1297840510 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297840514 | 1297843743 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297843746 | 1297846390 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297846392 | 1297849090 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297849093 | 1297851851 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297851855 | 1297854495 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297854499 | 1297858257 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297858261 | 1297861275 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297861279 | 1297863912 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297863915 | 1297866556 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297866558 | 1297869307 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297869310 | 1297872149 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297872152 | 1297875010 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297875013 | 1297877653 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297877657 | 1297880427 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297880430 | 1297883077 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297883080 | 1297885777 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297885780 | 1297888808 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297888811 | 1297891602 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297891604 | 1297894347 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297894350 | 1297896994 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297896997 | 1297899634 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297899637 | 1297902277 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297902280 | 1297905017 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297905019 | 1297907653 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297907655 | 1297910296 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297910299 | 1297914056 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297914060 | 1297917077 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297917080 | 1297920812 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297920814 | 1297923531 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297923534 | 1297926309 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
